mode: set
miniclaudecode-go/skills/loader.go:49.58,50.23 1 1
miniclaudecode-go/skills/loader.go:50.23,52.3 1 1
miniclaudecode-go/skills/loader.go:53.2,53.34 1 1
miniclaudecode-go/skills/loader.go:53.34,56.28 2 1
miniclaudecode-go/skills/loader.go:56.28,58.4 1 1
miniclaudecode-go/skills/loader.go:61.3,62.28 2 1
miniclaudecode-go/skills/loader.go:62.28,64.4 1 1
miniclaudecode-go/skills/loader.go:66.2,66.14 1 1
miniclaudecode-go/skills/loader.go:79.42,86.2 1 1
miniclaudecode-go/skills/loader.go:89.44,93.2 3 0
miniclaudecode-go/skills/loader.go:96.34,103.24 5 1
miniclaudecode-go/skills/loader.go:103.24,105.3 1 0
miniclaudecode-go/skills/loader.go:106.2,108.12 2 1
miniclaudecode-go/skills/loader.go:112.48,117.50 4 1
miniclaudecode-go/skills/loader.go:117.50,119.3 1 1
miniclaudecode-go/skills/loader.go:121.2,121.24 1 1
miniclaudecode-go/skills/loader.go:121.24,123.51 2 0
miniclaudecode-go/skills/loader.go:123.51,125.4 1 0
miniclaudecode-go/skills/loader.go:128.2,128.11 1 1
miniclaudecode-go/skills/loader.go:132.62,133.21 1 1
miniclaudecode-go/skills/loader.go:133.21,135.3 1 0
miniclaudecode-go/skills/loader.go:137.2,141.29 4 1
miniclaudecode-go/skills/loader.go:141.29,142.39 1 1
miniclaudecode-go/skills/loader.go:142.39,145.4 2 1
miniclaudecode-go/skills/loader.go:148.2,148.43 1 1
miniclaudecode-go/skills/loader.go:152.48,157.33 4 1
miniclaudecode-go/skills/loader.go:157.33,158.30 1 1
miniclaudecode-go/skills/loader.go:158.30,160.4 1 1
miniclaudecode-go/skills/loader.go:162.2,162.15 1 1
miniclaudecode-go/skills/loader.go:166.65,171.33 4 1
miniclaudecode-go/skills/loader.go:171.33,172.40 1 1
miniclaudecode-go/skills/loader.go:172.40,173.12 1 0
miniclaudecode-go/skills/loader.go:175.3,175.29 1 1
miniclaudecode-go/skills/loader.go:177.2,177.15 1 1
miniclaudecode-go/skills/loader.go:182.94,187.33 4 1
miniclaudecode-go/skills/loader.go:187.33,188.40 1 1
miniclaudecode-go/skills/loader.go:188.40,189.12 1 0
miniclaudecode-go/skills/loader.go:191.3,191.34 1 1
miniclaudecode-go/skills/loader.go:191.34,192.12 1 1
miniclaudecode-go/skills/loader.go:194.3,194.29 1 1
miniclaudecode-go/skills/loader.go:196.2,196.15 1 1
miniclaudecode-go/skills/loader.go:200.62,205.2 4 0
miniclaudecode-go/skills/loader.go:208.58,210.2 1 0
miniclaudecode-go/skills/loader.go:213.64,214.26 1 0
miniclaudecode-go/skills/loader.go:214.26,216.3 1 0
miniclaudecode-go/skills/loader.go:218.2,224.34 5 0
miniclaudecode-go/skills/loader.go:224.34,225.59 1 0
miniclaudecode-go/skills/loader.go:225.59,226.40 1 0
miniclaudecode-go/skills/loader.go:226.40,230.5 3 0
miniclaudecode-go/skills/loader.go:234.2,234.20 1 0
miniclaudecode-go/skills/loader.go:238.46,242.28 3 1
miniclaudecode-go/skills/loader.go:242.28,244.3 1 0
miniclaudecode-go/skills/loader.go:246.2,248.33 3 1
miniclaudecode-go/skills/loader.go:248.33,250.19 2 1
miniclaudecode-go/skills/loader.go:250.19,252.4 1 0
miniclaudecode-go/skills/loader.go:253.3,254.15 2 1
miniclaudecode-go/skills/loader.go:254.15,256.4 1 0
miniclaudecode-go/skills/loader.go:257.3,262.45 6 1
miniclaudecode-go/skills/loader.go:262.45,264.4 1 0
miniclaudecode-go/skills/loader.go:265.3,265.33 1 1
miniclaudecode-go/skills/loader.go:267.2,268.20 2 1
miniclaudecode-go/skills/loader.go:274.72,276.42 1 1
miniclaudecode-go/skills/loader.go:276.42,278.3 1 1
miniclaudecode-go/skills/loader.go:281.2,281.31 1 1
miniclaudecode-go/skills/loader.go:281.31,282.37 1 1
miniclaudecode-go/skills/loader.go:282.37,284.4 1 1
miniclaudecode-go/skills/loader.go:287.2,287.16 1 1
miniclaudecode-go/skills/loader.go:292.85,300.47 2 1
miniclaudecode-go/skills/loader.go:300.47,302.3 1 1
miniclaudecode-go/skills/loader.go:304.2,304.16 1 1
miniclaudecode-go/skills/loader.go:307.29,308.40 1 1
miniclaudecode-go/skills/loader.go:308.40,310.3 1 1
miniclaudecode-go/skills/loader.go:311.2,311.11 1 0
miniclaudecode-go/skills/loader.go:314.28,316.16 2 1
miniclaudecode-go/skills/loader.go:316.16,318.3 1 0
miniclaudecode-go/skills/loader.go:319.2,319.39 1 1
miniclaudecode-go/skills/loader.go:346.72,348.2 1 1
miniclaudecode-go/skills/loader.go:352.77,353.21 1 1
miniclaudecode-go/skills/loader.go:353.21,355.3 1 1
miniclaudecode-go/skills/loader.go:357.2,359.32 3 1
miniclaudecode-go/skills/loader.go:359.32,361.46 1 1
miniclaudecode-go/skills/loader.go:361.46,362.12 1 1
miniclaudecode-go/skills/loader.go:364.3,366.63 2 1
miniclaudecode-go/skills/loader.go:366.63,367.22 1 0
miniclaudecode-go/skills/loader.go:367.22,369.5 1 0
miniclaudecode-go/skills/loader.go:371.3,379.33 2 1
miniclaudecode-go/skills/loader.go:381.2,381.15 1 1
miniclaudecode-go/skills/loader.go:385.66,386.21 1 1
miniclaudecode-go/skills/loader.go:386.21,388.3 1 1
miniclaudecode-go/skills/loader.go:390.2,391.32 2 1
miniclaudecode-go/skills/loader.go:391.32,393.63 2 1
miniclaudecode-go/skills/loader.go:393.63,394.22 1 1
miniclaudecode-go/skills/loader.go:394.22,396.5 1 1
miniclaudecode-go/skills/loader.go:398.3,398.24 1 1
miniclaudecode-go/skills/loader.go:398.24,400.4 1 1
miniclaudecode-go/skills/loader.go:402.2,402.11 1 1
miniclaudecode-go/skills/loader.go:417.116,419.2 1 1
